x, y
390.1384083044983, 0.9333333333333333
394.98269896193773, 1.251851851851852
399.8269896193772, 1.362962962962963
405.363321799308, 1.4074074074074074
410.20761245674737, 1.3851851851851853
415.05190311418687, 1.348148148148148
419.89619377162626, 1.3185185185185186
425.43252595155707, 1.288888888888889
430.27681660899657, 1.2740740740740741
435.12110726643596, 1.2370370370370372
439.96539792387546, 1.1925925925925926
444.80968858131484, 1.1925925925925926
449.65397923875435, 1.2
455.1903114186851, 1.2444444444444445
460.7266435986159, 1.2814814814814814
464.878892733564, 1.2740740740740741
469.72318339100343, 1.2666666666666666
475.25951557093424, 1.3333333333333335
480.1038062283737, 1.6074074074074074
484.94809688581313, 2.0962962962962965
490.48442906574394, 2.125925925925926
493.9446366782007, 2.214814814814815
500.1730103806228, 2.340740740740741
505.01730103806227, 2.3703703703703702
510.5536332179931, 2.414814814814815
515.3979238754325, 2.4592592592592593
520.2422145328719, 2.511111111111111
525.0865051903114, 2.5703703703703704
530.6228373702422, 2.6444444444444444
534.7750865051903, 2.696296296296296
539.6193771626297, 2.762962962962963
545.1557093425605, 2.837037037037037
550, 2.8444444444444446
554.8442906574394, 2.8222222222222224
559.6885813148789, 2.7925925925925927
565.2249134948097, 2.718518518518519
570.0692041522491, 2.6148148148148147
575.6055363321799, 2.6
580.4498269896194, 2.4222222222222225
584.6020761245675, 2.162962962962963
590.1384083044983, 1.651851851851852
594.9826989619377, 1.1111111111111112
599.8269896193772, 0.6222222222222222
605.3633217993079, 0.24444444444444446
