x, y
386.6877971473851, 0.09022556390977443
393.6608557844691, 0.09022556390977443
399.3660855784469, 0.09022556390977443
406.3391442155309, 0.09022556390977443
418.3835182250396, 0.09147869674185463
429.79397781299525, 0.09398496240601503
446.90966719492866, 0.10401002506265664
466.56101426307447, 0.11152882205513784
491.9175911251981, 0.11528822055137844
501.4263074484944, 0.12656641604010024
514.1045958795562, 0.15664160401002505
522.3454833597464, 0.19047619047619047
530.5863708399365, 0.21428571428571427
540.095087163233, 0.22932330827067668
550.8716323296355, 0.23684210526315788
558.4786053882726, 0.23558897243107768
567.3534072900159, 0.22556390977443608
578.1299524564183, 0.20426065162907267
586.3708399366085, 0.19548872180451127
595.2456418383518, 0.18796992481203006
602.8526148969888, 0.18796992481203006
611.7274167987322, 0.17669172932330826
619.3343898573693, 0.16666666666666666
628.8431061806656, 0.16416040100250626
639.6196513470682, 0.15789473684210525
646.5927099841522, 0.14536340852130325
655.4675118858954, 0.13909774436090225
661.8066561014264, 0.12531328320802004
672.5832012678288, 0.12030075187969924
683.3597464342313, 0.13533834586466165
691.6006339144216, 0.18170426065162906
709.350237717908, 0.3358395989974937
716.9572107765451, 0.4072681704260651
729.6354992076069, 0.48621553884711777
735.9746434231379, 0.5150375939849624
743.581616481775, 0.5426065162907268
751.8225039619651, 0.550125313283208
762.5990491283676, 0.5451127819548872
768.3042789223455, 0.5363408521303258
774.6434231378764, 0.5288220551378446
777.1790808240887, 0.5162907268170426
782.2503961965135, 0.5137844611528821
786.687797147385, 0.506265664160401
790.4912836767037, 0.49749373433583954
796.1965134706815, 0.48621553884711777
799.3660855784469, 0.49373433583959897
802.5356576862123, 0.47744360902255634
809.5087163232963, 0.48245614035087714
810.7765451664025, 0.46365914786967416
813.3122028526149, 0.44862155388471175
817.1156893819334, 0.43358395989974935
820.2852614896989, 0.44360902255639095
