x, y
378.67052023121386, 0.0015600624024961
390.23121387283237, 0.0265210608424337
397.1676300578035, 0.057722308892355696
402.2543352601156, 0.0842433697347894
406.4161849710983, 0.12168486739469579
410.5780346820809, 0.1482059282371295
417.97687861271675, 0.171606864274571
424.4508670520231, 0.21372854914196568
433.6994219653179, 0.2480499219968799
442.02312138728325, 0.2714508580343214
451.7341040462428, 0.2948517940717629
464.21965317919074, 0.3073322932917317
480.4046242774566, 0.3244929797191888
501.21387283236993, 0.3541341653666147
528.9595375722544, 0.41497659906396256
555.7803468208092, 0.4929797191887676
588.150289017341, 0.5975039001560063
604.7976878612717, 0.6458658346333853
627.4566473988439, 0.6942277691107644
657.0520231213873, 0.7394695787831513
694.971098265896, 0.7940717628705148
735.2023121387283, 0.8486739469578783
778.6705202312139, 0.9017160686427458
